Date,Actual,Forcast,Previous,forcast_change,prev_day_volume,daily_return,vix_prev_day,CPI_YoY,GDP_YoY,PCE_YoY,un_rate
4/30/2008,2,2,2.25,-0.5,125514100,-0.589561444,2.717396989,3.903760976,1.376010766,1.174189282,5
1/28/2009,0.25,0.25,0.25,-0.25,273789700,3.383444741,-6.130177876,-0.113586019,-3.234227293,-1.846476873,7.8
4/29/2009,0.25,0.25,0.25,0,247926300,2.126934599,-4.927533318,-0.576324424,-3.978837405,-2.097667394,9
1/27/2010,0.25,0.25,0.25,0,211168800,0.475708925,-5.743380412,2.621111389,1.745265845,0.462888062,9.8
4/28/2010,0.25,0.25,0.25,0,355853300,0.759657986,-7.584390981,2.206770753,2.913595029,1.511105498,9.9
1/26/2011,0.25,0.25,0.25,0,167552200,0.387083674,-5.400800197,1.700783492,2.0377972,2.647329856,9.1
4/27/2011,0.25,0.25,0.25,0,146600000,0.652859841,-1.728549975,3.077234445,1.743708865,2.403995699,9.1
1/25/2012,0.25,0.25,0.25,0,103083300,0.836718655,-3.172926422,3.008766338,2.638069311,0.764390057,8.3
4/25/2012,0.25,0.25,0.25,0,137484200,1.369168092,-7.071826849,2.273163374,2.403335839,1.196778505,8.2
10/24/2012,0.25,0.25,0.25,0,192056300,-0.282834745,-2.655337239,2.15567806,1.551852007,1.288697714,7.8
1/30/2013,0.25,0.25,0.25,0,105694400,-0.391590936,7.588273804,1.684061762,1.700868486,1.707479521,8
7/31/2013,0.25,0.25,0.25,0,85209600,0.07120419,0.448091594,1.885471805,2.237022493,1.696412491,7.3
10/30/2013,0.25,0.25,0.25,0,87401000,-0.49672506,1.789707486,0.876799143,3.00914496,1.904607287,7.2
1/29/2014,0.25,0.25,0.25,0,110463200,-0.960525947,9.810127671,1.557758796,1.650817556,2.265633638,6.6
4/30/2014,0.25,0.25,0.25,0,84098000,0.298258693,-2.188185193,2.015125304,2.689152159,2.406163839,6.2
7/30/2014,0.25,0.25,0.25,0,80466000,0.015217151,0.376507468,1.97423787,3.059782928,2.862275146,6.2
10/29/2014,0.25,0.25,0.25,0,106736000,-0.15122688,5.281440285,1.609541702,2.685835101,3.220667276,5.7
1/28/2015,0.25,0.25,0.25,0,134044600,-1.282463461,18.69919483,-0.229930978,3.969299499,3.579299276,5.7
4/29/2015,0.25,0.25,0.25,0,86863500,-0.41146966,7.896861466,-0.104030989,3.279087861,3.662776773,5.4
7/29/2015,0.25,0.25,0.25,0,123544800,0.687876035,-6.994044715,0.225686111,2.447321366,3.48033549,5.2
10/28/2015,0.25,0.25,0.25,0,77905800,1.137433781,-7.128971871,0.127616561,2.119861313,3.224967913,5
1/27/2016,0.5,0.5,0.5,0,141036800,-1.088333929,2.711113824,1.237502503,1.795016891,2.586892116,4.8
4/27/2016,0.5,0.5,0.5,0,75864200,0.205840228,-1.361028509,1.17262575,1.493250833,2.265013783,5.1
7/27/2016,0.5,0.5,0.5,0,70080500,-0.106108389,-1.685825776,0.868363343,1.805761531,2.590796729,4.8
7/26/2017,1.25,1.25,1.25,0,54915600,0.004041192,1.802757909,1.725107351,2.410821412,2.379407812,4.3
1/31/2018,1.5,1.5,1.5,0,131796400,0.049678691,-8.451656546,2.151318868,3.328810095,3.251704307,4
1/30/2019,2.5,2.5,2.5,0,66136300,1.58309039,-7.684262299,1.487589358,1.851285045,0.936158284,4
7/31/2019,2.25,2.25,2.5,-0.25,45849000,-1.094019707,15.63846,1.826331335,2.670264785,1.870555234,3.7
10/30/2019,1.75,1.75,2,-0.25,44284900,0.306703579,-6.590908319,1.7339737,3.18255607,2.503086848,3.6
1/29/2020,1.75,1.75,1.75,0,63834000,-0.082612041,0.67566768,2.512264364,1.226554789,3.324002543,3.6
7/29/2020,0.25,0.25,0.25,0,57495000,1.229847633,-5.267296087,1.018756695,-1.468931477,-3.194311638,10.2
1/27/2021,0.25,0.25,0.25,0,42665300,-2.444056563,61.6420432,1.395100925,1.572607324,-0.925225117,6.4
4/28/2021,0.25,0.25,0.25,0,51303100,-0.028726941,-1.594526126,4.148739292,11.95027221,10.54079173,6.1
7/28/2021,0.25,0.25,0.25,0,67397100,-0.041000038,-5.423559459,5.257577165,4.735316795,10.03802507,5.4
1/26/2022,0.25,0.25,0.25,0,167997300,-0.250883942,2.567391659,7.569766645,3.565082005,6.883331072,4
7/27/2022,2.5,2.5,1.75,1,52946400,2.596621958,-5.872825968,8.449818746,1.713213136,1.68326989,3.5
7/26/2023,5.5,5.5,5.25,0.25,55191200,0.01537574,-4.834055504,3.271780512,2.926886998,2.060959259,3.5
1/31/2024,5.5,5.5,5.5,0,58618400,-1.631734546,7.813673396,3.105980903,2.923360086,3.258869388,3.7
